rental ID,customer ID,car ID,rental begin date,predict finish date,actual finish date,rental payment,status
1,198,45,2013-11-23,2013-12-26,2014-11-29,57585,Done
2,485,54,2013-11-24,2013-12-27,2015-04-08,269592,Done
3,337,8,2013-11-26,2013-12-18,2013-12-05,2794,Done
4,404,191,2013-11-26,2014-01-08,2014-01-13,11252,Done
5,97,176,2013-11-27,2013-12-12,2014-01-29,14787,Done
6,12,98,2013-11-27,2013-12-09,2014-08-19,90978,Done
7,342,147,2013-12-01,2013-12-10,2014-01-15,7488,Done
8,498,61,2013-12-03,2013-12-30,2014-04-15,69000,Done
9,420,129,2013-12-05,2013-12-20,2013-12-05,1725,Done
10,18,113,2013-12-09,2013-12-27,2014-01-29,23049,Done
11,204,161,2013-12-09,2013-12-10,2013-12-11,768,Done
12,495,199,2013-12-13,2013-12-28,2014-01-31,13806,Done
13,113,73,2013-12-14,2013-12-18,2013-12-22,1360,Done
14,212,70,2013-12-14,2013-12-16,2014-01-26,344729,Broken
15,446,145,2013-12-16,2014-01-02,2014-09-04,78960,Done
16,192,9,2013-12-17,2014-01-10,2013-12-29,361881,Broken
17,215,190,2013-12-18,2013-12-26,2014-02-15,23184,Done
18,407,152,2013-12-19,2013-12-23,2014-04-29,363202,Broken
19,105,64,2013-12-19,2014-01-03,2013-12-19,1530,Done
20,179,64,2013-12-20,2013-12-23,2014-05-07,267877,Broken
21,51,136,2013-12-21,2014-01-05,2014-02-12,12255,Done
22,35,99,2013-12-21,2014-01-06,2014-06-05,45668,Done
23,17,187,2013-12-21,2014-01-05,2014-01-25,9825,Done
24,223,160,2013-12-21,2013-12-24,2013-12-31,2712,Done
25,21,181,2013-12-22,2014-01-14,2014-10-12,114532,Done
26,487,102,2013-12-26,2014-01-12,2013-12-26,2108,Done
27,459,24,2013-12-27,2014-01-04,2013-12-27,792,Done
28,3,160,2014-01-04,2014-01-19,2014-10-11,91530,Done
29,33,44,2014-01-05,2014-01-11,2016-06-06,276885,Done
30,37,153,2014-01-05,2014-01-20,2014-01-10,2535,Done
31,289,148,2014-01-05,2014-01-26,2014-10-01,84150,Done
32,254,194,2014-01-06,2014-02-17,2014-06-01,25842,Done
33,54,175,2014-01-08,2014-01-18,2014-07-25,50512,Done
34,53,143,2014-01-08,2014-02-16,2014-06-19,181096,Broken
35,172,161,2014-01-11,2014-01-19,2014-03-02,25728,Done
36,177,153,2014-01-14,2014-02-08,2014-07-21,86866,Done
37,181,18,2014-01-15,2014-01-26,2014-02-08,8200,Done
38,110,43,2014-01-17,2014-01-20,2014-02-26,16758,Done
39,339,83,2014-01-17,2014-01-31,2014-01-31,1232,Done
40,40,33,2014-01-17,2014-01-31,2014-04-24,13676,Done
41,73,34,2014-01-18,2014-01-24,2015-04-04,211071,Done
42,196,75,2014-01-19,2014-01-23,2014-05-15,21080,Done
43,474,39,2014-01-21,2014-01-28,2014-01-21,1358,Done
44,363,130,2014-01-23,2014-02-21,2014-04-21,288982,Broken
45,285,178,2014-01-23,2014-01-26,2014-02-26,17088,Done
46,59,70,2014-01-27,2014-01-29,2014-01-27,142,Done
47,321,68,2014-01-28,2014-03-14,2014-04-04,6696,Done
48,189,3,2014-01-31,2014-03-31,2014-02-25,3717,Done
49,191,55,2014-02-04,2014-02-11,2015-01-31,579899,Broken
50,487,70,2014-02-04,2014-02-04,2016-02-01,154851,Done
51,331,62,2014-02-05,2014-02-12,2014-02-05,910,Done
52,236,187,2014-02-05,2014-03-25,2016-01-26,270384,Done
53,301,118,2014-02-09,2014-02-20,2014-03-23,20072,Done
54,491,32,2014-02-10,2014-02-19,2014-04-28,16614,Done
55,406,72,2014-02-12,2014-04-23,2018-01-22,271700,Done
