rental ID,customer ID,car ID,rental begin date,predict finish date,actual finish date,rental fee,status
1,198,45,2013-11-23,2013-12-26,2014-11-29,57585.00,Completed
2,485,54,2013-11-24,2013-12-27,2015-04-08,269592.00,Completed
3,337,8,2013-11-26,2013-12-18,2013-12-05,2794.00,Completed
4,404,191,2013-11-26,2014-01-08,2014-01-13,11252.00,Completed
5,97,176,2013-11-27,2013-12-12,2014-01-29,14787.00,Completed
6,12,98,2013-11-27,2013-12-09,2014-08-19,90978.00,Completed
7,342,147,2013-12-01,2013-12-10,2014-01-15,7488.00,Completed
8,498,61,2013-12-03,2013-12-30,2014-04-15,69000.00,Completed
9,420,129,2013-12-05,2013-12-20,2013-12-05,1725.00,Completed
10,18,113,2013-12-09,2013-12-27,2014-01-29,23049.00,Completed
11,204,161,2013-12-09,2013-12-10,2013-12-11,768.00,Completed
12,495,199,2013-12-13,2013-12-28,2014-01-31,13806.00,Completed
13,113,73,2013-12-14,2013-12-18,2013-12-22,1360.00,Completed
14,212,70,2013-12-14,2013-12-16,2014-01-26,344729.00,Completed
15,446,145,2013-12-16,2014-01-02,2014-09-04,78960.00,Completed
16,192,9,2013-12-17,2014-01-10,2013-12-29,361881.00,Completed
17,14,190,2013-12-18,2013-12-26,2014-02-15,23184.00,Completed
18,407,152,2013-12-19,2013-12-23,2014-04-29,363202.00,Completed
19,14,64,2013-12-19,2014-01-03,2013-12-19,1530.00,Completed
20,179,64,2013-12-20,2013-12-23,2014-05-07,267877.00,Completed
21,51,136,2013-12-21,2014-01-05,2014-02-12,12255.00,Completed
22,35,99,2013-12-21,2014-01-06,2014-06-05,45668.00,Completed
23,17,187,2013-12-21,2014-01-05,2014-01-25,9825.00,Completed
24,223,160,2013-12-21,2013-12-24,2013-12-31,2712.00,Completed
25,21,181,2013-12-22,2014-01-14,2014-10-12,114532.00,Completed
26,487,102,2013-12-26,2014-01-12,2013-12-26,2108.00,Completed
27,459,24,2013-12-27,2014-01-04,2013-12-27,792.00,Completed
28,3,160,2014-01-04,2014-01-19,2014-10-11,91530.00,Completed
29,33,44,2014-01-05,2014-01-11,2016-06-06,276885.00,Completed
30,37,153,2014-01-05,2014-01-20,2014-01-10,2535.00,Completed
31,289,148,2014-01-05,2014-01-26,2014-10-01,84150.00,Completed
32,254,194,2014-01-06,2014-02-17,2014-06-01,25842.00,Completed
33,54,175,2014-01-08,2014-01-18,2014-07-25,50512.00,Completed
34,53,143,2014-01-08,2014-02-16,2014-06-19,181096.00,Completed
35,172,161,2014-01-11,2014-01-19,2014-03-02,25728.00,Completed
36,177,153,2014-01-14,2014-02-08,2014-07-21,86866.00,Completed
37,181,18,2014-01-15,2014-01-26,2014-02-08,8200.00,Completed
38,110,43,2014-01-17,2014-01-20,2014-02-26,16758.00,Completed
39,339,83,2014-01-17,2014-01-31,2014-01-31,1232.00,Completed
40,40,33,2014-01-17,2014-01-31,2014-04-24,13676.00,Completed
41,73,34,2014-01-18,2014-01-24,2015-04-04,211071.00,Completed
42,196,75,2014-01-19,2014-01-23,2014-05-15,21080.00,Completed
43,474,39,2014-01-21,2014-01-28,2014-01-21,1358.00,Completed
44,363,130,2014-01-23,2014-02-21,2014-04-21,288982.00,Completed
45,285,178,2014-01-23,2014-01-26,2014-02-26,17088.00,Completed
46,59,70,2014-01-27,2014-01-29,2014-01-27,142.00,Completed
47,321,68,2014-01-28,2014-03-14,2014-04-04,6696.00,Completed
48,189,3,2014-01-31,2014-03-31,2014-02-25,3717.00,Completed
49,191,55,2014-02-04,2014-02-11,2015-01-31,579899.00,Completed
50,487,70,2014-02-04,2014-02-04,2016-02-01,154851.00,Completed
51,331,62,2014-02-05,2014-02-12,2014-02-05,910.00,Completed
52,236,187,2014-02-05,2014-03-25,2016-01-26,270384.00,Completed
53,301,118,2014-02-09,2014-02-20,2014-03-23,20072.00,Completed
54,491,32,2014-02-10,2014-02-19,2014-04-28,16614.00,Completed
55,406,72,2014-02-12,2014-04-23,2018-01-22,271700.00,Completed
56,432,121,2014-02-13,2014-02-13,2014-06-02,304021.00,Completed
57,172,120,2014-02-14,2014-03-27,2014-03-22,2214.00,Completed
58,106,2,2014-02-15,2014-03-02,2014-04-09,12900.00,Completed
59,290,83,2014-02-15,2014-02-21,2014-04-06,230454.00,Completed
60,266,113,2014-02-21,2014-03-19,2014-09-03,104410.00,Completed
61,132,129,2014-02-23,2014-03-07,2014-03-07,1380.00,Completed
62,241,128,2014-02-24,2014-02-26,2014-02-24,330.00,Completed
63,36,80,2014-02-28,2014-03-23,2014-05-17,216616.00,Completed
64,455,62,2014-03-02,2014-03-03,2014-10-02,83200.00,Completed
65,444,178,2014-03-03,2014-04-29,2014-03-03,10146.00,Completed
66,449,67,2014-03-04,2014-04-08,2014-09-29,53472.00,Completed
67,8,178,2014-03-07,2014-04-02,2014-04-03,5162.00,Completed
68,189,87,2014-03-11,2014-03-27,2014-05-09,13630.00,Completed
69,77,59,2014-03-11,2014-03-11,2015-10-23,315594.00,Completed
70,421,66,2014-03-11,2014-03-18,2014-07-14,29241.00,Completed
71,296,9,2014-03-11,2014-03-29,2014-10-02,31266.00,Completed
72,273,176,2014-03-14,2014-03-25,2014-03-14,1023.00,Completed
73,22,4,2014-03-14,2014-04-04,2014-03-18,3360.00,Completed
74,346,47,2014-03-15,2014-03-25,2015-04-26,202969.00,Completed
75,378,1,2014-03-16,2014-03-26,2014-03-16,1830.00,Completed
76,256,78,2014-03-18,2014-03-20,2019-12-23,1278613.00,Completed
77,16,84,2014-03-19,2014-04-01,2014-06-01,38612.00,Completed
78,442,90,2014-03-21,2014-04-24,2014-03-21,429392.00,Completed
79,387,128,2014-03-22,2014-03-30,2014-03-24,1320.00,Completed
80,55,4,2014-03-23,2014-05-01,2014-04-23,6240.00,Completed
81,195,128,2014-03-25,2014-04-08,2014-03-25,131117.00,Completed
82,457,136,2014-03-25,2014-04-18,2014-03-25,2280.00,Completed
83,498,151,2014-03-29,2014-04-23,2014-03-29,4600.00,Completed
84,228,77,2014-03-30,2014-06-05,2014-03-31,7236.00,Completed
85,282,82,2014-03-30,2014-04-01,2014-03-30,362.00,Completed
86,354,129,2014-03-31,2014-04-27,2014-06-19,21390.00,Completed
87,335,107,2014-03-31,2014-05-03,2014-04-18,190984.00,Completed
88,255,56,2014-04-02,2014-04-13,2014-04-02,1012.00,Completed
89,488,118,2014-04-06,2014-04-22,2014-10-15,104992.00,Completed
90,441,77,2014-04-07,2014-04-07,2015-07-20,591081.00,Completed
91,410,41,2014-04-11,2014-04-26,2014-04-18,2820.00,Completed
92,139,119,2014-04-12,2014-04-13,2014-05-11,9945.00,Completed
93,108,199,2014-04-13,2014-06-05,2014-06-23,12626.00,Completed
94,461,161,2014-04-17,2014-04-22,2014-08-24,72384.00,Completed
95,399,71,2014-04-23,2014-06-06,2014-11-22,79344.00,Completed
96,291,26,2014-04-23,2014-05-01,2014-09-06,41160.00,Completed
97,68,82,2014-04-24,2014-04-26,2014-07-07,39458.00,Completed
98,272,134,2014-04-27,2014-06-29,2014-04-27,12537.00,Completed
99,177,130,2014-04-28,2014-05-23,2014-04-28,1775.00,Completed
100,67,141,2014-04-29,2014-05-15,2016-12-03,377210.00,Completed
101,177,147,2014-05-01,2014-05-16,2015-07-08,221029.00,Completed
102,123,6,2014-05-02,2014-05-06,2014-05-12,3410.00,Completed
103,375,192,2014-05-05,2014-07-09,2014-07-18,9200.00,Completed
104,98,107,2014-05-07,2014-05-11,2014-05-07,484.00,Completed
105,439,53,2014-05-07,2014-05-30,2014-05-07,4416.00,Completed
106,360,53,2014-05-08,2014-06-30,2015-02-25,148416.00,Completed
107,147,135,2014-05-12,2014-05-12,2014-10-28,87204.00,Completed
108,12,49,2014-05-15,2014-06-24,2014-09-13,46978.00,Completed
109,243,32,2014-05-16,2014-07-07,2014-05-16,4056.00,Completed
110,206,120,2014-05-16,2014-05-16,2015-08-01,71604.00,Completed
111,299,36,2014-05-20,2014-05-21,2014-07-14,11247.00,Completed
112,488,139,2014-05-20,2014-06-12,2014-05-20,2001.00,Completed
113,392,162,2014-05-20,2014-05-28,2014-09-06,57224.00,Completed
114,143,6,2014-05-21,2014-05-30,2014-07-07,19065.00,Completed
115,58,90,2014-05-23,2014-06-06,2015-01-24,109340.00,Completed
116,400,73,2014-05-24,2014-07-04,2015-03-10,66980.00,Completed
117,15,126,2014-05-27,2014-05-28,2014-05-27,246051.00,Completed
118,398,83,2014-05-28,2014-07-27,2014-07-10,223590.00,Completed
119,44,42,2014-05-31,2014-06-24,2014-05-31,180096.00,Completed
120,205,179,2014-06-02,2014-07-09,2014-08-23,25800.00,Completed
121,268,134,2014-06-06,2014-08-03,2014-07-26,11542.00,Completed
122,450,81,2014-06-07,2014-08-05,2014-07-16,266602.00,Completed
123,267,126,2014-06-18,2014-06-23,2015-01-23,36879.00,Completed
124,368,48,2014-06-23,2014-08-03,2014-08-01,7585.00,Completed
125,88,2,2014-06-24,2014-06-25,2014-06-30,441102.00,Completed
126,44,105,2014-06-24,2014-08-31,2015-05-19,91057.00,Completed
127,318,52,2014-06-25,2014-07-22,2014-07-08,4050.00,Completed
128,92,108,2014-06-26,2014-06-26,2014-06-27,475898.00,Completed
129,354,18,2014-06-26,2014-06-27,2014-06-26,126527.00,Completed
130,411,194,2014-06-29,2014-07-13,2016-01-11,120815.00,Completed
131,96,158,2014-06-30,2014-08-11,2015-01-18,441417.00,Completed
132,109,80,2014-06-30,2014-07-02,2014-08-05,6032.00,Completed
133,154,15,2014-07-02,2014-07-12,2014-11-04,24140.00,Completed
134,14,74,2014-07-03,2014-08-25,2014-09-16,7497.00,Completed
135,127,173,2014-07-06,2014-07-21,2014-07-06,1020.00,Completed
136,173,64,2014-07-08,2014-07-21,2014-07-14,1326.00,Completed
137,141,52,2014-07-15,2014-08-26,2015-06-12,392359.00,Completed
138,124,64,2014-07-16,2014-08-24,2014-07-16,3978.00,Completed
139,415,82,2014-07-16,2014-07-29,2014-07-16,2353.00,Completed
140,464,119,2014-07-17,2014-07-27,2015-06-16,114894.00,Completed
141,378,146,2014-07-22,2014-07-23,2014-09-07,11537.00,Completed
142,142,166,2014-07-23,2014-08-01,2014-07-23,424298.00,Completed
143,165,56,2014-07-23,2014-09-07,2015-05-22,75164.00,Completed
144,145,88,2014-07-23,2014-08-04,2015-12-28,363635.00,Completed
145,140,100,2014-07-26,2014-09-04,2014-07-26,277277.00,Completed
146,478,5,2014-07-26,2014-08-15,2014-10-09,14060.00,Completed
147,88,64,2014-07-29,2014-09-08,2014-12-14,33864.00,Completed
148,41,153,2014-07-30,2014-07-30,2014-07-30,0.00,Completed
149,332,84,2014-07-30,2014-08-13,2014-10-31,49447.00,Completed
150,216,200,2014-07-31,2014-08-03,2015-03-20,91080.00,Completed
151,450,199,2014-08-02,2014-09-15,2014-08-02,227185.00,Completed
152,372,57,2014-08-03,2014-10-02,2014-08-03,8940.00,Completed
153,307,28,2014-08-03,2014-09-26,2014-09-21,8100.00,Completed
154,374,180,2014-08-03,2014-08-22,2014-09-03,3685.00,Completed
155,483,150,2014-08-04,2014-08-05,2014-08-08,1000.00,Completed
156,470,66,2014-08-05,2014-08-06,2014-10-21,18549.00,Completed
157,114,167,2014-08-07,2014-09-26,2015-07-11,180058.00,Completed
158,473,76,2014-08-08,2014-08-18,2014-09-12,4930.00,Completed
159,321,8,2014-08-10,2014-09-04,2015-10-04,153670.00,Completed
160,104,81,2014-08-13,2014-10-11,2014-09-25,266602.00,Completed
161,24,186,2014-08-14,2014-08-15,2014-12-12,17900.00,Completed
162,74,185,2014-08-16,2014-09-01,2015-03-31,112277.00,Completed
163,462,83,2014-08-16,2014-08-17,2015-06-14,297862.00,Completed
164,451,89,2014-08-19,2014-08-25,2015-04-27,38532.00,Completed
165,451,130,2014-08-24,2014-09-21,2014-08-27,1988.00,Completed
166,392,29,2014-08-24,2014-08-28,2014-09-22,241206.00,Completed
167,210,178,2014-08-26,2014-09-17,2014-09-27,9256.00,Completed
168,187,13,2014-08-26,2014-09-16,2014-08-26,2667.00,Completed
169,452,130,2014-08-28,2014-10-16,2014-09-05,3479.00,Completed
170,434,127,2014-08-29,2014-09-08,2014-09-16,409401.00,Completed
171,41,191,2014-08-30,2014-10-03,2014-12-11,46754.00,Completed
172,147,86,2014-08-31,2014-09-28,2015-10-27,113740.00,Completed
173,325,2,2014-09-03,2014-09-07,2014-09-05,400.00,Completed
174,99,188,2014-09-04,2014-11-05,2014-09-22,6262.00,Completed
175,43,132,2014-09-04,2014-11-02,2014-09-05,10797.00,Completed
176,131,174,2014-09-07,2014-09-07,2014-09-07,0.00,Completed
177,6,2,2014-09-09,2014-11-02,2014-09-10,444902.00,Completed
178,392,80,2014-09-11,2014-09-19,2014-09-11,464.00,Completed
179,121,46,2014-09-11,2014-09-19,2015-01-05,193911.00,Completed
180,475,139,2014-09-13,2014-09-15,2014-11-12,287242.00,Completed
181,255,189,2014-09-14,2014-09-20,2015-06-24,58590.00,Completed
182,202,30,2014-09-14,2014-11-11,2014-09-26,11252.00,Completed
183,291,16,2014-09-15,2014-10-13,2014-10-21,8840.00,Completed
184,90,110,2014-09-16,2014-10-31,2014-09-16,5310.00,Completed
185,58,151,2014-09-20,2014-10-18,2014-12-14,36616.00,Completed
186,145,92,2014-09-21,2014-10-22,2014-09-23,2418.00,Completed
187,142,121,2014-09-22,2014-10-25,2014-11-11,10500.00,Completed
188,423,113,2014-09-22,2014-09-26,2015-07-08,169223.00,Completed
189,424,179,2014-09-23,2014-09-27,2014-09-27,600.00,Completed
190,89,188,2014-09-24,2014-10-20,2016-11-01,227755.00,Completed
191,168,29,2014-09-25,2014-10-14,2014-10-10,3458.00,Completed
192,275,32,2014-09-27,2014-09-30,2014-10-10,2574.00,Completed
193,188,98,2014-09-28,2014-09-29,2014-12-31,169226.00,Completed
194,418,28,2014-09-28,2014-11-12,2014-10-07,6750.00,Completed
195,100,31,2014-09-30,2014-10-08,2014-11-15,20984.00,Completed
196,336,132,2014-10-02,2014-10-05,2014-12-07,35136.00,Completed
197,104,57,2014-10-03,2014-10-14,2014-11-06,11920.00,Completed
198,162,131,2014-10-05,2014-10-09,2014-10-05,264.00,Completed
199,67,92,2014-10-05,2014-10-27,2015-01-01,17160.00,Completed
200,476,179,2014-10-07,2014-10-23,2015-08-02,129750.00,Completed
201,187,143,2014-10-10,2014-11-01,2014-11-17,9380.00,Completed
202,195,29,2014-10-11,2014-10-25,2014-10-26,229922.00,Completed
203,314,80,2014-10-15,2014-11-05,2014-12-08,6960.00,Completed
204,55,81,2014-10-16,2014-11-13,2014-10-16,2828.00,Completed
205,112,60,2014-10-18,2014-10-29,2014-11-03,1768.00,Completed
206,441,11,2014-10-18,2014-11-12,2014-10-18,2750.00,Completed
207,219,75,2014-10-19,2014-11-23,2014-10-19,2170.00,Completed
208,180,102,2014-10-20,2014-12-13,2015-02-16,30876.00,Completed
209,270,21,2014-10-20,2014-11-20,2014-11-12,3658.00,Completed
210,229,134,2014-10-21,2014-11-06,2015-06-04,128554.00,Completed
211,155,4,2014-10-23,2014-11-21,2015-01-26,36320.00,Completed
212,126,144,2014-10-25,2014-10-26,2015-01-15,23912.00,Completed
213,150,2,2014-10-26,2014-11-09,2014-12-21,14000.00,Completed
214,103,137,2014-10-26,2014-12-16,2015-01-23,11880.00,Completed
215,180,150,2014-10-30,2014-11-20,2014-11-24,3300.00,Completed
216,225,129,2014-10-31,2014-11-16,2015-03-03,38755.00,Completed
217,19,103,2014-10-31,2014-11-19,2014-10-31,3762.00,Completed
218,410,161,2014-11-01,2014-11-13,2015-07-22,146880.00,Completed
219,131,24,2014-11-02,2014-11-10,2015-02-28,33462.00,Completed
220,327,84,2014-11-04,2014-12-11,2015-03-21,66389.00,Completed
221,26,39,2014-11-06,2015-01-03,2014-12-04,11252.00,Completed
222,409,183,2014-11-07,2014-12-08,2014-12-07,2821.00,Completed
223,296,153,2014-11-08,2014-11-20,2015-01-20,32955.00,Completed
224,428,85,2014-11-13,2014-12-14,2015-05-06,34040.00,Completed
225,41,131,2014-11-14,2014-12-17,2015-04-14,25542.00,Completed
226,455,118,2014-11-15,2014-12-20,2015-08-07,139925.00,Completed
227,77,76,2014-11-19,2014-12-05,2015-02-18,13978.00,Completed
228,384,51,2014-11-21,2015-01-12,2014-11-21,134723.00,Completed
229,357,104,2014-11-22,2014-12-30,2015-05-27,76156.00,Completed
230,428,68,2014-11-23,2014-12-23,2014-12-09,1860.00,Completed
231,39,30,2014-11-25,2014-12-03,2015-02-28,52186.00,Completed
232,248,145,2014-11-25,2014-11-26,2014-12-13,5460.00,Completed
233,231,40,2014-11-27,2014-12-18,2017-08-11,333108.00,Completed
234,357,41,2014-11-28,2014-12-21,2015-04-15,69184.00,Completed
235,300,198,2014-11-29,2014-11-29,2014-11-29,0.00,Completed
236,362,62,2014-12-01,2014-12-07,2014-12-01,455018.00,Completed
237,148,101,2014-12-03,2014-12-06,2015-08-05,58320.00,Completed
238,19,183,2014-12-08,2014-12-20,2014-12-08,1092.00,Completed
239,470,80,2014-12-09,2014-12-30,2015-02-06,7830.00,Completed
240,145,96,2014-12-09,2015-02-10,2014-12-14,3591.00,Completed
241,401,94,2014-12-10,2014-12-24,2017-08-14,374874.00,Completed
242,162,135,2014-12-11,2014-12-18,2016-07-30,305644.00,Completed
243,52,57,2014-12-12,2015-01-07,2015-01-03,3874.00,Completed
244,81,39,2014-12-14,2014-12-15,2015-11-28,202730.00,Completed
245,146,122,2014-12-14,2015-01-31,2015-01-26,5664.00,Completed
246,23,106,2014-12-17,2015-02-17,2014-12-17,6882.00,Completed
247,44,108,2014-12-20,2015-01-14,2014-12-20,3200.00,Completed
248,434,35,2014-12-21,2015-01-30,2014-12-21,375873.00,Completed
249,479,108,2014-12-23,2014-12-30,2015-01-09,4736.00,Completed
250,251,17,2014-12-24,2014-12-30,2015-02-01,139093.00,Completed
251,127,12,2014-12-24,2015-01-10,2014-12-29,2618.00,Completed
252,407,142,2014-12-27,2014-12-27,2015-05-10,76380.00,Completed
253,391,145,2014-12-28,2015-01-04,2015-07-05,58065.00,Completed
254,449,139,2014-12-30,2014-12-31,2015-06-21,316909.00,Completed
255,65,6,2015-01-01,2015-02-04,2015-04-27,43400.00,Completed
256,70,12,2015-01-01,2015-01-04,2015-03-19,34650.00,Completed
257,287,190,2015-01-01,2015-01-09,2015-02-21,19728.00,Completed
258,499,10,2015-01-02,2015-01-13,2015-10-10,107551.00,Completed
259,211,82,2015-01-02,2015-01-13,2015-01-08,1991.00,Completed
260,172,49,2015-01-03,2015-01-19,2015-01-12,2656.00,Completed
261,402,95,2015-01-06,2015-03-12,2015-02-03,3380.00,Completed
262,363,121,2015-01-09,2015-02-16,2015-04-14,26125.00,Completed
263,138,196,2015-01-10,2015-01-15,2015-01-13,520.00,Completed
264,365,127,2015-01-10,2015-03-09,2015-01-10,413889.00,Completed
265,6,37,2015-01-11,2015-03-11,2015-11-26,132562.00,Completed
266,52,49,2015-01-14,2015-02-12,2015-01-14,4814.00,Completed
267,70,178,2015-01-16,2015-02-09,2015-01-16,4272.00,Completed
268,259,136,2015-01-16,2015-02-13,2015-03-04,8075.00,Completed
269,312,110,2015-01-18,2015-02-26,2015-04-27,25842.00,Completed
270,396,108,2015-01-19,2015-01-27,2015-09-29,95104.00,Completed
271,361,171,2015-01-20,2015-01-31,2015-02-06,4959.00,Completed
272,346,5,2015-01-20,2015-01-30,2015-09-10,51604.00,Completed
273,44,26,2015-01-26,2015-01-30,2016-01-13,110040.00,Completed
274,29,196,2015-01-26,2015-02-11,2015-02-03,1664.00,Completed
