repair ID,car ID,repair begin date,repair end date,repair description
1,70,2014-01-26,2014-01-26,Damaged car headlights
2,9,2013-12-29,2014-01-16,Car paint peeling off
3,152,2014-04-29,2014-06-17,Crash the whole car was scrapped
4,64,2014-05-07,2014-06-21,Car paint peeling off
5,143,2014-06-19,2014-09-01,Damaged car headlights
6,130,2014-04-21,2014-04-26,Tires need to be repaired
7,55,2015-01-31,2015-04-26,Car paint peeling off
8,121,2014-06-02,2014-06-26,The bumper was knocked off
9,83,2014-04-06,2014-04-21,Car paint peeling off
10,80,2014-05-17,2014-06-05,Tires need to be repaired
11,78,2019-12-23,2020-01-05,Tires need to be repaired
12,90,2014-03-21,2014-04-19,Damaged car headlights
13,128,2014-03-25,2014-07-02,Damaged car headlights
14,107,2014-04-18,2014-04-22,The bumper was knocked off
15,77,2015-07-20,2015-09-07,Car paint peeling off
16,147,2015-07-08,2016-01-04,The bumper was knocked off
17,126,2014-05-27,2014-06-03,The bumper was knocked off
18,83,2014-07-10,2014-08-08,Tires need to be repaired
19,42,2014-05-31,2015-01-03,Tires need to be repaired
20,81,2014-07-16,2014-08-02,Damaged car headlights
21,2,2014-06-30,2014-07-25,The bumper was knocked off
22,108,2014-06-27,2014-08-04,Crash the whole car was scrapped
23,18,2014-06-26,2014-09-20,Damaged car headlights
24,158,2015-01-18,2015-04-02,Crash the whole car was scrapped
25,52,2015-06-12,2015-11-11,Crash the whole car was scrapped
26,166,2014-07-23,2015-06-07,Crash the whole car was scrapped
27,88,2015-12-28,2016-03-26,Car paint peeling off
28,100,2014-07-26,2016-02-24,Damaged car headlights
29,199,2014-08-02,2014-10-23,The bumper was knocked off
30,81,2014-09-25,2014-10-11,Tires need to be repaired
31,83,2015-06-14,2016-06-07,The bumper was knocked off
32,29,2014-09-22,2014-09-24,Tires need to be repaired
33,127,2014-09-16,2014-11-11,Car paint peeling off
34,2,2014-09-10,2014-10-21,Car paint peeling off
35,46,2015-01-05,2015-03-13,Tires need to be repaired
36,139,2014-11-12,2014-12-17,Tires need to be repaired
37,98,2014-12-31,2015-04-12,Car paint peeling off
38,29,2014-10-26,2014-12-01,Tires need to be repaired
39,51,2014-11-21,2015-07-22,Crash the whole car was scrapped
40,62,2014-12-01,2014-12-03,Car paint peeling off
41,35,2014-12-21,2015-06-15,Crash the whole car was scrapped
42,17,2015-02-01,2015-05-08,Damaged car headlights
43,139,2015-06-21,2015-08-25,Damaged car headlights
44,127,2015-01-10,2016-01-29,Tires need to be repaired
45,132,2015-08-15,2015-10-13,Tires need to be repaired
46,171,2015-07-15,2015-07-15,Tires need to be repaired
47,32,2016-04-05,2016-07-24,The bumper was knocked off
48,60,2016-08-29,2016-09-11,Car paint peeling off
49,155,2015-04-11,2015-04-18,Crash the whole car was scrapped
50,49,2015-07-01,2015-07-13,Tires need to be repaired
51,191,2015-04-13,2015-07-09,Tires need to be repaired
52,159,2015-04-29,2016-02-29,Tires need to be repaired
53,143,2015-05-06,2015-07-08,Crash the whole car was scrapped
54,31,2015-05-07,2015-08-19,Car paint peeling off
55,16,2015-09-02,2015-10-06,Damaged car headlights
56,125,2015-08-16,2015-09-08,Crash the whole car was scrapped
57,180,2016-06-13,2016-07-09,Crash the whole car was scrapped
58,128,2015-05-31,2015-09-26,Car paint peeling off
59,56,2015-06-12,2015-07-20,Tires need to be repaired
60,146,2015-07-03,2016-04-30,The bumper was knocked off
61,73,2016-03-23,2016-06-01,Damaged car headlights
62,173,2016-01-17,2016-01-18,Crash the whole car was scrapped
63,123,2016-02-20,2016-03-12,The bumper was knocked off
64,171,2015-07-22,2015-07-25,Tires need to be repaired
