return ID,rental ID,return date,Vehicle condition description,Handling_personnel,
1,1,2014-11-29,the order completed,1,
2,2,2015-04-08,the order completed,2,
3,3,2013-12-05,the order completed,3,
4,4,2014-01-13,the order completed,4,
5,5,2014-01-29,the order completed,5,
6,6,2014-08-19,the order completed,6,
7,7,2014-01-15,the order completed,7,
8,8,2014-04-15,the order completed,8,
9,9,2013-12-05,the order completed,9,
10,10,2014-01-29,the order completed,10,
11,11,2013-12-11,the order completed,11,
12,12,2014-01-31,the order completed,12,
13,13,2013-12-22,the order completed,13,
14,14,2014-01-26,the car broken,14,
15,15,2014-09-04,the order completed,15,
16,16,2013-12-29,the car broken,16,
17,17,2014-02-15,the order completed,17,
18,18,2014-04-29,the car broken,18,
19,19,2013-12-19,the order completed,1,
20,20,2014-05-07,the car broken,2,
21,21,2014-02-12,the order completed,3,
22,22,2014-06-05,the order completed,4,
23,23,2014-01-25,the order completed,5,
24,24,2013-12-31,the order completed,6,
25,25,2014-10-12,the order completed,7,
26,26,2013-12-26,the order completed,8,
27,27,2013-12-27,the order completed,9,
28,28,2014-10-11,the order completed,10,
29,29,2016-06-06,the order completed,11,
30,30,2014-01-10,the order completed,12,
31,31,2014-10-01,the order completed,13,
32,32,2014-06-01,the order completed,14,
33,33,2014-07-25,the order completed,15,
34,34,2014-06-19,the car broken,16,
35,35,2014-03-02,the order completed,17,
36,36,2014-07-21,the order completed,18,
37,37,2014-02-08,the order completed,1,
38,38,2014-02-26,the order completed,2,
39,39,2014-01-31,the order completed,3,
40,40,2014-04-24,the order completed,4,
41,41,2015-04-04,the order completed,5,
42,42,2014-05-15,the order completed,6,
43,43,2014-01-21,the order completed,7,
44,44,2014-04-21,the car broken,8,
45,45,2014-02-26,the order completed,1,
46,46,2014-01-27,the order completed,2,
47,47,2014-04-04,the order completed,3,
48,48,2014-02-25,the order completed,4,
49,49,2015-01-31,the car broken,5,
50,50,2016-02-01,the order completed,6,
51,51,2014-02-05,the order completed,7,
52,52,2016-01-26,the order completed,8,
53,53,2014-03-23,the order completed,9,
54,54,2014-04-28,the order completed,10,
55,55,2018-01-22,the order completed,11,
56,56,2014-06-02,the car broken,12,
57,57,2014-03-22,the order completed,13,
58,58,2014-04-09,the order completed,14,
59,59,2014-04-06,the car broken,15,
60,60,2014-09-03,the order completed,16,
61,61,2014-03-07,the order completed,17,
62,62,2014-02-24,the order completed,18,
63,63,2014-05-17,the car broken,1,
64,64,2014-10-02,the order completed,2,
65,65,2014-03-03,the order completed,3,
66,66,2014-09-29,the order completed,4,
67,67,2014-04-03,the order completed,5,
68,68,2014-05-09,the order completed,6,
69,69,2015-10-23,the order completed,7,
70,70,2014-07-14,the order completed,8,
71,71,2014-10-02,the order completed,9,
72,72,2014-03-14,the order completed,10,
73,73,2014-03-18,the order completed,11,
74,74,2015-04-26,the order completed,12,
75,75,2014-03-16,the order completed,13,
76,76,2019-12-23,the car broken,14,
77,77,2014-06-01,the order completed,15,
78,78,2014-03-21,the car broken,16,
79,79,2014-03-24,the order completed,17,
80,80,2014-04-23,the order completed,18,
81,81,2014-03-25,the car broken,1,
82,82,2014-03-25,the order completed,2,
83,83,2014-03-29,the order completed,3,
84,84,2014-03-31,the order completed,4,
85,85,2014-03-30,the order completed,5,
86,86,2014-06-19,the order completed,6,
87,87,2014-04-18,the car broken,7,
88,88,2014-04-02,the order completed,8,
89,89,2014-10-15,the order completed,1,
90,90,2015-07-20,the car broken,2,
91,91,2014-04-18,the order completed,3,
92,92,2014-05-11,the order completed,4,
93,93,2014-06-23,the order completed,5,
94,94,2014-08-24,the order completed,6,
95,95,2014-11-22,the order completed,7,
96,96,2014-09-06,the order completed,8,
97,97,2014-07-07,the order completed,9,
98,98,2014-04-27,the order completed,10,
99,99,2014-04-28,the order completed,11,
100,100,2016-12-03,the order completed,12,
101,101,2015-07-08,the car broken,13,
102,102,2014-05-12,the order completed,14,
103,103,2014-07-18,the order completed,15,
104,104,2014-05-07,the order completed,16,
105,105,2014-05-07,the order completed,17,
106,106,2015-02-25,the order completed,18,
107,107,2014-10-28,the order completed,1,
108,108,2014-09-13,the order completed,2,
109,109,2014-05-16,the order completed,3,
110,110,2015-08-01,the order completed,4,
111,111,2014-07-14,the order completed,5,
112,112,2014-05-20,the order completed,6,
113,113,2014-09-06,the order completed,7,
114,114,2014-07-07,the order completed,8,
115,115,2015-01-24,the order completed,9,
